Value.element_type,Value.first_name,Value.id,Value.now_cost,Value.points_per_game,Value.selected_by_percent,Value.team,Value.total_points,Value.web_name,Value.minutes,Value.goals_scored,Value.assists,Value.clean_sheets,Value.goals_conceded,Value.own_goals,Value.penalties_saved,Value.penalties_missed,Value.yellow_cards,Value.red_cards,Value.saves,Value.bonus,Value.bps,Value.influence,Value.creativity,Value.threat,Value.ict_index,Value.starts,Value.expected_goals,Value.expected_assists,Value.expected_goal_involvements,Value.expected_goals_conceded,Value.influence_rank,Value.influence_rank_type,Value.creativity_rank,Value.creativity_rank_type,Value.threat_rank,Value.threat_rank_type,Value.ict_index_rank,Value.ict_index_rank_type,Value.expected_goals_per_90,Value.saves_per_90,Value.expected_assists_per_90,Value.expected_goal_involvements_per_90,Value.expected_goals_conceded_per_90,Value.goals_conceded_per_90,Value.now_cost_rank,Value.now_cost_rank_type,Value.points_per_game_rank,Value.points_per_game_rank_type,Value.selected_rank,Value.selected_rank_type,Value.clean_sheets_per_90
4,Erling,355,14,7.8,84.4,13,272,Haaland,2767,36,9,13,26,0,0,0,5,0,0,40,1040,1390,371,1825,358.1,33,28.54,3.11,31.65,25.24,1,1,87,6,1,1,4,2,0.93,0,0.1,1.03,0.82,0.85,1,1,1,1,1,1,0.42
4,Harry,500,12.5,6.9,17.4,18,263,Kane,3406,30,9,11,62,0,0,1,6,0,0,48,1008,1342,759.6,1760,386.3,38,20.95,4.01,24.96,49.11,2,2,23,1,2,2,1,1,0.55,0,0.11,0.66,1.3,1.64,2,2,3,2,22,4,0.29
3,Mohamed,308,12.5,6.3,25.4,11,239,Salah,3290,19,13,13,45,0,0,2,2,0,0,23,651,1067.4,899.2,1688,365.6,37,21.01,7.03,28.04,47.47,5,1,14,12,3,1,2,1,0.57,0,0.19,0.76,1.3,1.23,3,1,4,1,13,5,0.36
3,Kevin,349,10.5,5.7,5.2,13,183,De Bruyne,2413,7,18,10,23,0,0,0,1,0,0,26,742,897.8,1476.7,598,297.6,28,5.34,13.69,19.03,19.88,15,6,3,2,41,28,8,6,0.2,0,0.51,0.71,0.74,0.86,4,2,7,4,69,21,0.37
3,Marcus,396,9,5.9,38.3,14,205,Rashford,2880,17,7,13,39,0,0,0,2,0,0,21,530,892.2,462.5,1466,282.2,32,15.27,2.86,18.13,43.46,16,7,60,51,4,2,10,7,0.48,0,0.09,0.57,1.36,1.22,6,4,5,2,5,3,0.41
3,Son,516,9,4.2,5.7,18,152,Son,2886,10,6,9,55,0,0,0,2,0,0,8,471,732.6,852,919,250.2,33,9.8,4.56,14.36,42.74,35,14,16,13,19,10,16,11,0.31,0,0.14,0.45,1.33,1.72,5,3,38,18,64,20,0.28
3,Bukayo,19,8.5,5.3,48.9,1,202,Saka,3183,14,12,12,42,0,0,1,6,0,0,19,678,1014.2,1106.1,1214,333.4,37,11.49,5.97,17.46,39.66,7,2,8,6,9,4,5,3,0.32,0,0.17,0.49,1.12,1.19,9,7,11,6,3,1,0.34
3,Bruno,373,8.5,4.8,23.6,14,176,B.Fernandes,3317,8,9,18,39,0,0,0,6,0,0,23,748,1004.2,1603.7,982,359.3,37,9.33,10.7,20.03,49.13,8,3,2,1,16,7,3,2,0.25,0,0.29,0.54,1.33,1.06,7,5,15,7,15,6,0.49
3,Martin,14,8.5,5.7,19.7,1,212,Ødegaard,3132,15,8,13,38,0,0,0,4,0,0,30,813,971.8,1140.3,934,304.9,37,9.75,8.02,17.77,37.94,10,4,6,4,18,9,6,4,0.28,0,0.23,0.51,1.09,1.09,8,6,6,3,18,7,0.37
4,Gabriel,8,8,4.8,29.7,1,125,G.Jesus,2064,11,7,9,23,0,0,0,6,0,0,17,401,660.6,427.8,1331,241.9,24,14.24,2.91,17.15,23.15,55,6,63,2,5,3,17,5,0.62,0,0.13,0.75,1.01,1,15,6,14,5,10,2,0.39
2,Trent,290,8,4.2,34.6,11,156,Alexander-Arnold,2922,2,11,10,44,0,0,0,5,0,0,21,824,821.4,1236.9,262,232.2,34,2.36,9.26,11.62,43.1,22,4,4,2,119,15,20,2,0.07,0,0.29,0.36,1.33,1.36,12,1,37,4,7,3,0.31
4,Ollie,60,8,4.7,14.4,2,175,Watkins,3129,15,8,13,40,0,0,1,4,0,0,25,550,837.6,420.3,1308,256.7,36,16.15,2.66,18.81,46.65,20,4,70,4,6,4,15,4,0.46,0,0.08,0.54,1.34,1.15,13,5,16,6,29,5,0.37
